class_id,replicate,experiment_id,student_id,scenario,scenario_label,seed,model_version,day,temperature_c,thermal_performance,degree_days,cumulative_degree_days,hydration_pct,nutrient_pct,root_health_pct,plant_health_pct,host_quality_index,enemy_pressure,nymphs_modelled,apterous_adults_modelled,alate_adults_modelled,total_aphids_modelled,nymphs_observed,apterous_adults_observed,alate_adults_observed,total_aphids_observed,fecundity_per_adult,new_nymphs,matured_nymphs,alate_fraction,mortality_rate,mortality_count,alate_emigrants,lambda_from_day_0,intervention,event_note
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,0,19,1,0,0,78,82,95,83.9,0.776,0,23.76,20.24,0,44,21,20,0,41,0,0,0,0,0,0,0,1,,setup observation
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,1,21.5,0.993,17.5,17.5,71.5,79.7,95.9,81,0.737,0,112.06,21.44,0.21,133.71,110,22,1,133,4.517,91.42,2.1,0.1,0.0398,1.71,0,3.039,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,2,21.1,0.996,17.1,34.6,64.9,77.3,96.8,78.1,0.698,0,162.14,28.92,1.31,192.37,153,27,3,183,3.01,64.68,9.4,0.119,0.043,6.01,0.02,4.372,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,3,21,0.996,17,51.6,58,74.6,97.7,74.9,0.658,0,247.95,38.87,2.9,289.71,238,38,1,277,3.65,106.77,12.85,0.137,0.0463,9.32,0.1,6.584,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,4,20.4,0.999,16.4,68,50.9,71.6,98.6,71.5,0.615,0,342.05,52.64,5.52,400.2,366,57,5,428,3.183,126.03,18.46,0.163,0.0503,15.31,0.24,9.095,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,5,20.9,0.997,16.9,84.9,43.4,68.3,98.4,67.6,0.566,0,415.89,69.15,9.34,494.38,389,74,9,472,2.181,117.8,23.64,0.196,0.055,23.13,0.49,11.236,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,6,20.4,0.999,16.4,101.3,67.3,64.5,99.3,74.1,0.648,0,567.85,92.2,14.53,674.57,604,88,14,706,2.901,207.4,32.6,0.2,0.0509,26.36,0.84,15.331,water +32%,intervention: water +32%
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,7,19.8,1,15.8,117.1,58.7,60.1,100,69.6,0.591,0,775.25,117.97,22.67,915.89,778,113,20,911,2.966,284.19,40.92,0.257,0.0585,41.4,1.47,20.816,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,8,20.4,0.999,16.4,133.5,49.3,55.2,100,64.4,0.529,0,894.76,145.06,34.61,1074.42,893,143,37,1073,1.842,227.71,50.28,0.322,0.0692,66.58,2.59,24.419,,
aphidsim_tutorial,1,Baseline_01_baseline_2687,Baseline_01,baseline,Baseline mesocosm,2687,2.1.0,9,18.7,1,14.7,148.2,40.1,50.1,99.8,59.2,0.468,0,934.67,168.26,46.04,1148.97,926,170,44,1140,1.09,167.49,51.53,0.359,0.0787,88.73,4.22,26.113,,
